version,payload,msgs,value,unit
zenoh-flow-python,8000000,60,236880353,ns
zenoh-flow-python,8000000,60,235712514,ns
zenoh-flow-python,8000000,60,229264484,ns
zenoh-flow-python,8000000,60,236149156,ns
zenoh-flow-python,8000000,60,237438143,ns
zenoh-flow-python,8000000,60,235546931,ns
zenoh-flow-python,8000000,60,229225505,ns
zenoh-flow-python,8000000,60,236940153,ns
zenoh-flow-python,8000000,60,237277330,ns
zenoh-flow-python,8000000,60,235315098,ns
zenoh-flow-python,8000000,60,229506435,ns
zenoh-flow-python,8000000,60,234191189,ns
zenoh-flow-python,8000000,60,236948734,ns
zenoh-flow-python,8000000,60,236639080,ns
zenoh-flow-python,8000000,60,229245837,ns
zenoh-flow-python,8000000,60,234078244,ns
zenoh-flow-python,8000000,60,237694945,ns
zenoh-flow-python,8000000,60,237475424,ns
zenoh-flow-python,8000000,60,229874460,ns
zenoh-flow-python,8000000,60,233979249,ns
zenoh-flow-python,8000000,60,237453551,ns
zenoh-flow-python,8000000,60,236899987,ns
zenoh-flow-python,8000000,60,229806625,ns
zenoh-flow-python,8000000,60,234676293,ns
zenoh-flow-python,8000000,60,235372132,ns
zenoh-flow-python,8000000,60,235658815,ns
zenoh-flow-python,8000000,60,229389371,ns
zenoh-flow-python,8000000,60,234316396,ns
zenoh-flow-python,8000000,60,236981468,ns
zenoh-flow-python,8000000,60,237908824,ns
zenoh-flow-python,8000000,60,229647195,ns
zenoh-flow-python,8000000,60,234075087,ns
zenoh-flow-python,8000000,60,235719984,ns
zenoh-flow-python,8000000,60,235867141,ns
zenoh-flow-python,8000000,60,229549653,ns
zenoh-flow-python,8000000,60,233974539,ns
zenoh-flow-python,8000000,60,235375230,ns
zenoh-flow-python,8000000,60,237393084,ns
zenoh-flow-python,8000000,60,229984426,ns
zenoh-flow-python,8000000,60,234606266,ns
zenoh-flow-python,8000000,60,236759413,ns
zenoh-flow-python,8000000,60,236922276,ns
zenoh-flow-python,8000000,60,228162819,ns
zenoh-flow-python,8000000,60,234295059,ns
zenoh-flow-python,8000000,60,236491401,ns
zenoh-flow-python,8000000,60,235965091,ns
zenoh-flow-python,8000000,60,231025956,ns
zenoh-flow-python,8000000,60,234646367,ns
zenoh-flow-python,8000000,60,237917556,ns
zenoh-flow-python,8000000,60,236953262,ns
zenoh-flow-python,8000000,60,234815656,ns
zenoh-flow-python,8000000,60,237119814,ns
zenoh-flow-python,8000000,60,229393004,ns
zenoh-flow-python,8000000,60,235502341,ns
zenoh-flow-python,8000000,60,237938627,ns
zenoh-flow-python,8000000,60,234946901,ns
zenoh-flow-python,8000000,60,230738285,ns
