version,payload,msgs,value,unit
zf-python-new,8000000,60,28414652,ns
zf-python-new,8000000,60,20569130,ns
zf-python-new,8000000,60,21123048,ns
zf-python-new,8000000,60,22311464,ns
zf-python-new,8000000,60,26986865,ns
zf-python-new,8000000,60,19870583,ns
zf-python-new,8000000,60,20559979,ns
zf-python-new,8000000,60,23014514,ns
zf-python-new,8000000,60,29545337,ns
zf-python-new,8000000,60,25041440,ns
zf-python-new,8000000,60,24180037,ns
zf-python-new,8000000,60,24309384,ns
zf-python-new,8000000,60,29228453,ns
zf-python-new,8000000,60,21298122,ns
zf-python-new,8000000,60,21818145,ns
zf-python-new,8000000,60,25218853,ns
zf-python-new,8000000,60,32282499,ns
zf-python-new,8000000,60,22935978,ns
zf-python-new,8000000,60,22096117,ns
zf-python-new,8000000,60,22206576,ns
zf-python-new,8000000,60,27151804,ns
zf-python-new,8000000,60,22760882,ns
zf-python-new,8000000,60,22049078,ns
zf-python-new,8000000,60,24117180,ns
zf-python-new,8000000,60,31085854,ns
zf-python-new,8000000,60,31272299,ns
zf-python-new,8000000,60,25792172,ns
zf-python-new,8000000,60,25553466,ns
zf-python-new,8000000,60,31015577,ns
zf-python-new,8000000,60,26218048,ns
zf-python-new,8000000,60,21734766,ns
zf-python-new,8000000,60,21485891,ns
zf-python-new,8000000,60,26052231,ns
zf-python-new,8000000,60,26250648,ns
zf-python-new,8000000,60,21738411,ns
zf-python-new,8000000,60,23112129,ns
zf-python-new,8000000,60,29662298,ns
zf-python-new,8000000,60,29823142,ns
zf-python-new,8000000,60,24664482,ns
zf-python-new,8000000,60,24383979,ns
zf-python-new,8000000,60,29639104,ns
zf-python-new,8000000,60,29819941,ns
zf-python-new,8000000,60,24250360,ns
zf-python-new,8000000,60,24262020,ns
zf-python-new,8000000,60,25091831,ns
zf-python-new,8000000,60,25370554,ns
zf-python-new,8000000,60,20950654,ns
zf-python-new,8000000,60,22124613,ns
zf-python-new,8000000,60,28342886,ns
zf-python-new,8000000,60,28692262,ns
zf-python-new,8000000,60,23613369,ns
zf-python-new,8000000,60,35821732,ns
zf-python-new,8000000,60,17472337,ns
zf-python-new,8000000,60,29457606,ns
zf-python-new,8000000,60,25815770,ns
zf-python-new,8000000,60,31094355,ns
zf-python-new,8000000,60,17096310,ns
zf-python-new,8000000,60,18555248,ns
zf-python-new,8000000,60,18396857,ns
zf-python-new,8000000,60,25310496,ns
zf-python-new,8000000,60,21842109,ns
zf-python-new,8000000,60,28083592,ns
zf-python-new,8000000,60,26426491,ns
zf-python-new,8000000,60,29249823,ns
zf-python-new,8000000,60,21070959,ns
zf-python-new,8000000,60,26858145,ns
zf-python-new,8000000,60,23725209,ns
zf-python-new,8000000,60,28377891,ns
zf-python-new,8000000,60,20378850,ns
zf-python-new,8000000,60,25593572,ns
zf-python-new,8000000,60,22682382,ns
zf-python-new,8000000,60,27042841,ns
zf-python-new,8000000,60,22675421,ns
zf-python-new,8000000,60,26931015,ns
zf-python-new,8000000,60,22688337,ns
zf-python-new,8000000,60,27001545,ns
zf-python-new,8000000,60,22795378,ns
zf-python-new,8000000,60,26941011,ns
zf-python-new,8000000,60,22573472,ns
zf-python-new,8000000,60,27099421,ns
zf-python-new,8000000,60,22790577,ns
zf-python-new,8000000,60,26861402,ns
zf-python-new,8000000,60,22602131,ns
zf-python-new,8000000,60,27126907,ns
zf-python-new,8000000,60,22675282,ns
zf-python-new,8000000,60,26798144,ns
zf-python-new,8000000,60,22687791,ns
zf-python-new,8000000,60,27015261,ns
zf-python-new,8000000,60,22689191,ns
zf-python-new,8000000,60,26959007,ns
zf-python-new,8000000,60,22646945,ns
zf-python-new,8000000,60,26999842,ns
zf-python-new,8000000,60,22814337,ns
zf-python-new,8000000,60,26938488,ns
zf-python-new,8000000,60,22581114,ns
zf-python-new,8000000,60,27160788,ns
zf-python-new,8000000,60,22767498,ns
zf-python-new,8000000,60,26866071,ns
zf-python-new,8000000,60,22581548,ns
zf-python-new,8000000,60,27103370,ns
zf-python-new,8000000,60,22773375,ns
zf-python-new,8000000,60,26825224,ns
zf-python-new,8000000,60,22716957,ns
zf-python-new,8000000,60,27128770,ns
zf-python-new,8000000,60,22680225,ns
zf-python-new,8000000,60,26913796,ns
zf-python-new,8000000,60,22681827,ns
zf-python-new,8000000,60,27012549,ns
zf-python-new,8000000,60,16659736,ns
zf-python-new,8000000,60,19117742,ns
zf-python-new,8000000,60,17648423,ns
zf-python-new,8000000,60,41254557,ns
zf-python-new,8000000,60,19737492,ns
zf-python-new,8000000,60,26084106,ns
zf-python-new,8000000,60,22561579,ns
zf-python-new,8000000,60,29472684,ns
zf-python-new,8000000,60,26066139,ns
zf-python-new,8000000,60,30876851,ns
zf-python-new,8000000,60,25811680,ns
zf-python-new,8000000,60,30950560,ns
zf-python-new,8000000,60,21940776,ns
zf-python-new,8000000,60,18745702,ns
zf-python-new,8000000,60,15398471,ns
zf-python-new,8000000,60,20813641,ns
zf-python-new,8000000,60,18065617,ns
zf-python-new,8000000,60,22856050,ns
zf-python-new,8000000,60,20032802,ns
zf-python-new,8000000,60,23372273,ns
zf-python-new,8000000,60,19653469,ns
zf-python-new,8000000,60,23298657,ns
zf-python-new,8000000,60,20725910,ns
zf-python-new,8000000,60,25982863,ns
zf-python-new,8000000,60,21884717,ns
zf-python-new,8000000,60,25923735,ns
zf-python-new,8000000,60,21777130,ns
zf-python-new,8000000,60,28299843,ns
zf-python-new,8000000,60,24901450,ns
zf-python-new,8000000,60,29479706,ns
zf-python-new,8000000,60,24883225,ns
zf-python-new,8000000,60,24176020,ns
zf-python-new,8000000,60,29543284,ns
zf-python-new,8000000,60,29980154,ns
zf-python-new,8000000,60,24883348,ns
zf-python-new,8000000,60,24172553,ns
zf-python-new,8000000,60,29519445,ns
zf-python-new,8000000,60,29987774,ns
zf-python-new,8000000,60,21023141,ns
zf-python-new,8000000,60,20622423,ns
zf-python-new,8000000,60,26985949,ns
zf-python-new,8000000,60,28577400,ns
zf-python-new,8000000,60,23677895,ns
zf-python-new,8000000,60,23246686,ns
zf-python-new,8000000,60,31175418,ns
zf-python-new,8000000,60,32246544,ns
zf-python-new,8000000,60,22394796,ns
zf-python-new,8000000,60,22220512,ns
zf-python-new,8000000,60,27024197,ns
zf-python-new,8000000,60,27270543,ns
zf-python-new,8000000,60,22779845,ns
zf-python-new,8000000,60,22130386,ns
zf-python-new,8000000,60,26982436,ns
zf-python-new,8000000,60,19570880,ns
zf-python-new,8000000,60,15411015,ns
zf-python-new,8000000,60,17131240,ns
zf-python-new,8000000,60,22942025,ns
zf-python-new,8000000,60,25247429,ns
zf-python-new,8000000,60,21845296,ns
zf-python-new,8000000,60,21358297,ns
zf-python-new,8000000,60,41307098,ns
zf-python-new,8000000,60,21591327,ns
zf-python-new,8000000,60,18028262,ns
zf-python-new,8000000,60,18565871,ns
zf-python-new,8000000,60,27582756,ns
zf-python-new,8000000,60,29903021,ns
zf-python-new,8000000,60,24254935,ns
zf-python-new,8000000,60,24316946,ns
zf-python-new,8000000,60,29532287,ns
zf-python-new,8000000,60,25385968,ns
zf-python-new,8000000,60,21213365,ns
zf-python-new,8000000,60,20574281,ns
zf-python-new,8000000,60,25004217,ns
zf-python-new,8000000,60,25384457,ns
zf-python-new,8000000,60,21091542,ns
